"Interval start","All Packets"
0,591
0.001,7833
0.002,1419
0.003,158
0.004,139
0.005,64
0.006,225
0.007,139
0.008,388
0.009,9124
0.01,0
0.011,0
0.012,0
0.013,203
0.014,203
0.015,6007
0.016,3441
0.017,0
0.018,64
0.019,0
0.02,406
0.021,4716
0.022,9286
0.023,0
0.024,0
0.025,4383
0.026,8018
0.027,4768
0.028,9188
0.029,0
0.03,0
0.031,0
0.032,342
0.033,388
0.034,9124
0.035,0
0.036,552
0.037,356
0.038,267
0.039,527
0.04,9124
0.041,0
0.042,0
0.043,0
0.044,0
0.045,944
0.046,12642
0.047,4732
0.048,0
0.049,203
0.05,187
0.051,2551
0.052,4716
0.053,4732
0.054,0
0.055,0
0.056,862
0.057,186
0.058,1077
0.059,7501
0.06,2662
0.061,524
0.062,1243
0.063,1386
0.064,1279
0.065,18694
0.066,11042
0.067,1162
0.068,203
0.069,527
0.07,9124
0.071,0
0.072,0
0.073,0
0.074,342
0.075,128
0.076,0
0.077,0
0.078,132
0.079,501
0.08,3154
0.081,4554
0.082,0
0.083,982
0.084,0
0.085,64
0.086,4128
0.087,4716
0.088,4732
0.089,3420
0.09,741
0.091,0
0.092,0
0.093,0
0.094,139
0.095,64
0.096,155
0.097,476
0.098,7095
0.099,2150
0.1,0
0.101,0
0.102,203
0.103,0
0.104,4541
0.105,15113
0.106,9224
0.107,128
0.108,731
0.109,10144
0.11,1545
0.111,9522
0.112,80
0.113,1460
0.114,5211
0.115,4991
0.116,7029
0.117,4972
0.118,549
0.119,1622
0.12,1028
0.121,3315
0.122,7071
0.123,4732
0.124,132
0.125,128
0.126,0
0.127,567
0.128,3749
0.129,12674
0.13,170
0.131,170
0.132,1582
0.133,3442
0.134,4716
0.135,4819
0.136,232
0.137,0
0.138,838
0.139,846
0.14,9443
0.141,0
0.142,0
0.143,0
0.144,8290
0.145,15770
0.146,4924
0.147,0
0.148,0
0.149,4694
0.15,1924
0.151,6007
0.152,12688
0.153,1621
0.154,0
0.155,87
0.156,435
0.157,406
0.158,7095
0.159,2815
0.16,762
0.161,64
0.162,0
0.163,2111
0.164,3592
0.165,319
0.166,451
0.167,136
0.168,4032
0.169,665
0.17,319
0.171,0
0.172,4357
0.173,0
0.174,0
0.175,0
0.176,497
0.177,428
0.178,2504
0.179,527
0.18,9513
0.181,3351
0.182,0
0.183,4320
0.184,9341
0.185,2780
0.186,4908
0.187,5164
0.188,0
0.189,0
0.19,5499
0.191,406
0.192,4856
0.193,9420
0.194,319
0.195,70
0.196,4855
0.197,1042
0.198,6739
0.199,3441
0.2,0
0.201,0
0.202,609
0.203,6121
0.204,3441
0.205,66
0.206,548
0.207,350
0.208,203
0.209,527
0.21,10653
0.211,0
0.212,0
0.213,128
0.214,1785
0.215,5145
0.216,9322
0.217,94
0.218,0
0.219,0
0.22,0
0.221,128
0.222,132
0.223,3987
0.224,7886
0.225,4166
0.226,655
0.227,9124
0.228,0
0.229,64
0.23,3356
0.231,139
0.232,591
0.233,9327
0.234,114
0.235,0
0.236,139
0.237,492
0.238,4716
0.239,4942
0.24,523
0.241,0
0.242,320
0.243,406
0.244,4716
0.245,5088
0.246,676
0.247,158
0.248,4757
0.249,364
0.25,3572
0.251,9841
0.252,2876
0.253,0
0.254,0
0.255,0
0.256,82
0.257,649
0.258,388
0.259,9188
0.26,0
0.261,64
0.262,4790
0.263,428
0.264,8767
0.265,8719
0.266,7106
0.267,1098
0.268,203
0.269,225
0.27,527
0.271,9124
0.272,0
0.273,132
0.274,2205
0.275,527
